"","V1","V2"
"8 0 000 1 -6",0.00974313551815766,1129
"8 0 000 1 -5",0.0178890876565295,1677
"8 0 000 1 -4",0.0329809725158562,2365
"8 0 000 1 -3",0.068762278978389,3054
"8 0 000 1 -2",0.136214303765479,3957
"8 0 000 1 -1",0.272708024560661,4723
"8 0 000 1 0",0.574382654085525,4981
"8 0 000 1 1",0.825784706130188,4747
"8 0 000 1 2",0.925145348837209,4128
"8 0 000 1 3",0.970457902511078,3385
"8 0 000 1 4",0.985730813729271,2593
"8 0 000 1 5",0.992252066115702,1936
"8 0 000 1 6",0.99633431085044,1364
"8 0 000 1 7",1,904
"8 0 000 1 8",1,629
"8 0 000 1 9",1,418
"8 0 000 1 10",1,293
"9 0 000 1 -10",0,259
"9 0 000 1 -9",0,418
"9 0 000 1 -8",0,601
"9 0 000 1 -7",0.00229885057471264,870
"9 0 000 1 -6",0.00241351568785197,1243
"9 0 000 1 -5",0.00631095811818703,1743
"9 0 000 1 -4",0.0132067684688403,2423
"9 0 000 1 -3",0.0298557531029856,2981
"9 0 000 1 -2",0.0681347150259067,3860
"9 0 000 1 -1",0.164306585749607,4449
"9 0 000 1 0",0.579645023590204,4451
"9 0 000 1 1",0.925482368596141,4509
"9 0 000 1 2",0.975621647976597,4102
"9 0 000 1 3",0.989321789321789,3465
"9 0 000 1 4",0.997378277153558,2670
"9 0 000 1 5",0.99903984637542,2083
"9 0 000 1 6",1,1527
"9 0 000 1 7",1,1048
"9 0 000 1 8",1,786
"9 0 000 1 9",1,514
"9 0 000 1 10",1,344
"1 1 000 1 -10",0,5
"1 1 000 1 -9",0,3
"1 1 000 1 -8",0,8
"1 1 000 1 -7",0.105263157894737,19
"1 1 000 1 -6",0.1,80
"1 1 000 1 -5",0.171875,256
"1 1 000 1 -4",0.164576802507837,638
"1 1 000 1 -3",0.264872521246459,1412
"1 1 000 1 -2",0.349887133182844,3101
"1 1 000 1 -1",0.453747883638602,6497
"1 1 000 1 0",0.568967931662232,28564
"1 1 000 1 1",0.673064619321817,1563
"1 1 000 1 2",0.746859903381643,1035
"1 1 000 1 3",0.825641025641026,585
"1 1 000 1 4",0.891472868217054,258
"1 1 000 1 5",0.929411764705882,85
"1 1 000 1 6",0.942857142857143,35
"1 1 000 1 7",1,10
"1 1 000 1 8",1,3
"1 1 000 1 9",1,1
"1 1 000 1 10",NA,0
"2 1 000 1 -10",0,16
"2 1 000 1 -9",0,25
"2 1 000 1 -8",0.0454545454545455,66
"2 1 000 1 -7",0.0447761194029851,134
"2 1 000 1 -6",0.0769230769230769,273
"2 1 000 1 -5",0.147773279352227,494
"2 1 000 1 -4",0.151151151151151,999
"2 1 000 1 -3",0.233851956624234,2121
"2 1 000 1 -2",0.30989778110197,4011
"2 1 000 1 -1",0.424163179916318,7648
"2 1 000 1 0",0.559935973440835,16868
"2 1 000 1 1",0.680914022686175,6083
"2 1 000 1 2",0.767036450079239,3155
"2 1 000 1 3",0.84,1500
"2 1 000 1 4",0.920567375886525,705
"2 1 000 1 5",0.910299003322259,301
"2 1 000 1 6",0.964285714285714,140
"2 1 000 1 7",0.967741935483871,62
"2 1 000 1 8",1,33
"2 1 000 1 9",0.923076923076923,13
"2 1 000 1 10",1,6
"3 1 000 1 -10",0,39
"3 1 000 1 -9",0.0344827586206897,58
"3 1 000 1 -8",0.02,150
"3 1 000 1 -7",0.0528301886792453,265
"3 1 000 1 -6",0.0615384615384615,520
"3 1 000 1 -5",0.0882352941176471,918
"3 1 000 1 -4",0.15005931198102,1686
"3 1 000 1 -3",0.232613908872902,2919
"3 1 000 1 -2",0.308901682905226,4516
"3 1 000 1 -1",0.442600276625173,7230
"3 1 000 1 0",0.558634339435923,12126
"3 1 000 1 1",0.679724224381072,6382
"3 1 000 1 2",0.784386617100372,3766
"3 1 000 1 3",0.847569608305805,2119
"3 1 000 1 4",0.912251655629139,1208
"3 1 000 1 5",0.940111420612813,718
"3 1 000 1 6",0.96039603960396,404
"3 1 000 1 7",0.958762886597938,194
"3 1 000 1 8",0.990384615384615,104
"3 1 000 1 9",1,44
"3 1 000 1 10",1,24
"4 1 000 1 -10",0.0136986301369863,73
"4 1 000 1 -9",0.0147058823529412,136
"4 1 000 1 -8",0.0201612903225806,248
"4 1 000 1 -7",0.0268292682926829,410
"4 1 000 1 -6",0.0515933232169954,659
"4 1 000 1 -5",0.0853658536585366,1148
"4 1 000 1 -4",0.124162802679031,1941
"4 1 000 1 -3",0.197659297789337,3076
"4 1 000 1 -2",0.284259652100127,4714
"4 1 000 1 -1",0.417727342432142,6521
"4 1 000 1 0",0.56262951876583,8686
"4 1 000 1 1",0.696039603960396,6060
"4 1 000 1 2",0.798442294075997,4237
"4 1 000 1 3",0.871217712177122,2710
"4 1 000 1 4",0.921389396709324,1641
"4 1 000 1 5",0.952525252525253,990
"4 1 000 1 6",0.97158081705151,563
"4 1 000 1 7",0.990131578947368,304
"4 1 000 1 8",0.982857142857143,175
"4 1 000 1 9",1,97
"4 1 000 1 10",1,49
"5 1 000 1 -10",0,104
"5 1 000 1 -9",0,173
"5 1 000 1 -8",0.0217391304347826,368
"5 1 000 1 -7",0.0149812734082397,534
"5 1 000 1 -6",0.0349887133182844,886
"5 1 000 1 -5",0.0628053035589672,1433
"5 1 000 1 -4",0.102068345323741,2224
"5 1 000 1 -3",0.183312655086849,3224
"5 1 000 1 -2",0.25781762519134,4573
"5 1 000 1 -1",0.392596281540505,6024
"5 1 000 1 0",0.564653368670665,7169
"5 1 000 1 1",0.728662201614288,5823
"5 1 000 1 2",0.821648507816201,4222
"5 1 000 1 3",0.890796703296703,2912
"5 1 000 1 4",0.939841688654354,1895
"5 1 000 1 5",0.970808383233533,1336
