YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI\
2015,F,mccua001,8,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,F,mercj002,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,montm001,2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,F,morsm001,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,F,polag001,9,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,F,ramia001,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0\
2015,F,rasmc001,7,4,3,1,4,0,0,1,0,1,1,0,1,0,0,0,0,0\
2015,F,refsr001,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,F,rizza001,3,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,F,rodra001,10,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,F,russa002,6,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,F,schwk001,9,3,3,2,5,0,0,1,0,3,0,0,0,0,0,0,0,0\
2015,F,snidt001,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,F,sprig001,9,4,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,valbl001,5,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,F,walkn001,4,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,F,younc004,7,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0\
2015,L,arrij001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,baezj001,6,10,10,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0\
2015,L,bautj002,9,26,19,6,13,1,0,2,0,6,7,0,5,0,0,0,0,0\
2015,L,bryak001,5,16,14,3,7,1,0,1,0,3,2,0,5,0,0,0,0,0\
2015,L,buted001,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,cainl001,8,26,20,6,6,0,0,0,0,5,5,0,3,0,0,0,1,0\
2015,L,carre001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,casts001,4,11,11,2,3,1,0,0,0,1,0,0,1,0,0,0,0,0\
2015,L,casts001,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,cespy001,7,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,L,cespy001,8,9,8,4,5,1,0,0,0,3,1,0,1,0,0,0,0,0\
2015,L,coghc001,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,coghc001,11,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,colac001,3,24,23,5,9,1,0,1,0,1,1,0,4,2,0,0,0,0\
2015,L,confm001,7,10,8,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0\
2015,L,cuddm001,3,3,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0\
2015,L,cuddm001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,darnt001,2,16,15,4,10,0,0,2,0,2,0,0,5,0,1,0,0,0\
2015,L,degrj001,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0\
2015,L,denoc001,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,donaj001,5,27,23,6,11,2,0,1,0,4,3,0,6,0,1,0,0,0\
2015,L,dudal001,3,12,10,4,9,2,0,1,0,6,1,0,2,0,0,1,0,0\
2015,L,encae001,10,24,22,5,6,1,0,0,0,2,2,0,7,1,0,0,0,0\
2015,L,escoa003,6,27,23,11,15,2,1,0,0,5,0,0,2,0,2,0,2,0\
2015,L,florw001,6,15,14,4,7,1,1,0,0,0,1,0,2,0,0,0,0,0\
2015,L,fowld001,8,17,16,4,5,1,0,0,0,0,1,0,3,0,0,0,0,0\
2015,L,goinr001,4,19,18,5,9,1,0,1,0,4,0,0,7,0,0,1,0,0\
2015,L,goinr001,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,gorda001,7,21,19,5,7,2,0,0,0,1,1,0,5,0,1,0,0,0\
2015,L,granc001,9,18,15,3,3,0,0,0,0,2,2,0,4,0,0,0,1,0\
2015,L,harvm001,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0\
2015,L,hendk001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,hosme001,3,26,24,6,7,1,0,0,0,6,1,0,6,0,0,0,1,0\
2015,L,jacka001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,johnk003,11,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,L,lagaj001,8,6,5,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0\
2015,L,lagaj001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,lastt001,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,lastt001,11,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,lestj001,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,L,martr004,2,15,11,1,1,0,0,0,0,0,3,0,5,0,1,0,0,0\
2015,L,matzs001,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,montm001,2,8,7,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0\
2015,L,montm001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,morak001,10,25,22,6,9,0,0,1,0,4,2,0,5,0,0,0,1,0\
2015,L,mousm001,5,25,24,5,8,0,0,1,0,5,0,0,5,1,0,0,1,0\
2015,L,murpd006,4,18,17,9,22,1,0,4,0,6,1,1,3,1,0,0,0,0\
2015,L,navad001,2,8,7,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0\
2015,L,navad001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,nieuk001,7,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,orlap001,9,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,pennc001,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0\
2015,L,peres002,2,23,22,3,10,1,0,2,0,2,1,0,4,1,0,0,0,0\
2015,L,pillk001,8,24,21,5,8,3,0,0,0,2,3,0,3,0,0,0,0,0\
2015,L,pompd001,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,reveb001,7,27,24,5,6,1,0,0,0,0,3,0,7,0,0,0,0,0\
2015,L,riosa002,9,19,19,7,10,0,0,1,0,3,0,0,3,0,0,0,0,0\
2015,L,rizza001,3,16,14,3,3,0,0,0,0,0,1,0,2,0,1,0,0,0\
2015,L,rossd001,2,4,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0\
2015,L,schwk001,7,16,14,2,8,0,0,2,0,3,2,0,5,0,0,0,0,0\
2015,L,smoaj001,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,smoaj001,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,solej001,9,12,12,5,10,2,0,1,0,1,0,0,4,0,0,0,0,0\
2015,L,syndn001,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,L,tulot001,6,23,23,7,12,2,0,1,0,7,0,0,7,0,0,0,0,0\
2015,L,woodt004,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,L,wrigd002,5,18,14,4,6,2,0,0,0,1,4,0,5,0,0,0,0,0\
2015,L,zobrb001,4,27,25,8,17,3,0,2,0,4,2,0,2,1,0,0,0,0\
2015,R,aardd001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,R,abrej003,3,498,452,129,218,22,2,21,0,75,33,10,109,12,13,0,0,0\
2015,R,abrej003,10,170,161,49,90,12,1,9,1,26,6,1,31,4,2,0,1,0\
2015,R,ackld001,3,12,10,3,6,0,0,1,0,3,1,0,2,0,0,0,1,0\
2015,R,ackld001,4,32,31,8,22,1,2,3,0,8,1,0,4,0,0,0,0,0\
2015,R,ackld001,7,136,127,26,48,5,1,5,0,15,5,0,25,2,0,2,2,0\
2015,R,ackld001,8,62,54,13,19,3,0,1,0,3,7,0,12,1,1,0,0,0\
2015,R,ackld001,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0\
2015,R,ackld001,10,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0\
2015,R,ackld001,11,17,13,5,7,2,0,0,0,1,3,0,1,0,0,0,1,0\
2015,R,adama001,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0\
2015,R,adamc001,4,7,7,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0\
2015,R,adamc001,6,40,35,7,10,1,1,0,0,1,3,1,7,0,1,1,0,0\
2015,R,adamc001,11,11,11,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0\
2015,R,adamm002,3,170,159,36,57,9,0,4,0,21,10,1,38,1,0,0,1,0\
2015,R,adamm002,11,16,16,6,9,0,0,1,0,3,0,0,3,0,0,0,0,0\
2015,R,adrie001,3,4,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0\
